epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,348.51,0.48949,1.04028,0.90145,0.86166,0.53118,0.66333,0.47764,0.67625,2.31549,1.01339,0.000709599,0.000709599,0.000709599
44,355.581,0.46715,0.90032,0.8829,0.85151,0.51672,0.61358,0.53356,0.60983,2.26254,0.96781,0.000713987,0.000713987,0.000713987
45,365.637,0.57724,1.0357,0.92643,0.85151,0.51672,0.61358,0.53356,0.60983,2.26254,0.96781,0.00071781,0.00071781,0.00071781
46,372.784,0.50231,0.92743,0.89789,0.84083,0.53982,0.59142,0.53879,0.5271,2.15889,0.95207,0.000721066,0.000721066,0.000721066
47,379.707,0.52176,1.03373,0.92824,0.84083,0.53982,0.59142,0.53879,0.5271,2.15889,0.95207,0.000723757,0.000723757,0.000723757
48,386.743,0.46712,0.88286,0.89141,0.48767,0.5613,0.62676,0.59695,0.4962,2.079,0.98978,0.000725882,0.000725882,0.000725882
49,397.308,0.43778,0.78541,0.87858,0.48767,0.5613,0.62676,0.59695,0.4962,2.079,0.98978,0.000727441,0.000727441,0.000727441
50,404.585,0.53456,0.91466,0.8967,0.49073,0.55693,0.65163,0.62063,0.50537,2.03068,1.00717,0.000728434,0.000728434,0.000728434
51,411.795,0.47426,0.84901,0.90806,0.49073,0.55693,0.65163,0.62063,0.50537,2.03068,1.00717,0.000721645,0.000721645,0.000721645
52,418.842,0.48357,0.90301,0.93651,0.49629,0.59619,0.68176,0.63925,0.57585,1.985,1.05833,0.000707498,0.000707498,0.000707498
53,425.745,0.46124,0.8313,0.87248,0.49629,0.59619,0.68176,0.63925,0.57585,1.985,1.05833,0.000693351,0.000693351,0.000693351
54,436.272,0.45155,0.85343,0.86485,0.48363,0.6,0.64841,0.59703,0.5618,1.95245,1.05878,0.000679204,0.000679204,0.000679204
55,443.31,0.45819,0.84296,0.89198,0.48363,0.6,0.64841,0.59703,0.5618,1.95245,1.05878,0.000665057,0.000665057,0.000665057
56,450.345,0.445,0.83433,0.90122,0.49941,0.45602,0.61362,0.54844,0.57069,1.97694,1.08202,0.000650909,0.000650909,0.000650909
57,457.327,0.43283,0.75857,0.8603,0.49941,0.45602,0.61362,0.54844,0.57069,1.97694,1.08202,0.000636762,0.000636762,0.000636762
58,468.05,0.38567,0.77176,0.86995,0.47318,0.50624,0.55296,0.48608,0.60747,1.9234,1.13621,0.000622615,0.000622615,0.000622615
59,475.424,0.44207,0.84482,0.87629,0.47318,0.50624,0.55296,0.48608,0.60747,1.9234,1.13621,0.000608468,0.000608468,0.000608468
60,482.459,0.42672,0.86663,0.89258,0.42097,0.64102,0.51602,0.45928,0.61039,2.00602,1.16729,0.000594321,0.000594321,0.000594321
61,489.596,0.42726,0.93181,0.9127,0.42097,0.64102,0.51602,0.45928,0.61039,2.00602,1.16729,0.000580174,0.000580174,0.000580174
62,496.886,0.47349,0.81988,0.902,0.35784,0.59118,0.59647,0.5222,0.62491,2.18355,1.08703,0.000566027,0.000566027,0.000566027
63,507.521,0.46972,0.78347,0.88502,0.35784,0.59118,0.59647,0.5222,0.62491,2.18355,1.08703,0.00055188,0.00055188,0.00055188
64,514.664,0.45157,0.80608,0.89561,0.33487,0.6,0.58603,0.52847,0.55249,2.15966,1.02729,0.000537733,0.000537733,0.000537733
65,521.953,0.43586,0.80974,0.87941,0.33487,0.6,0.58603,0.52847,0.55249,2.15966,1.02729,0.000523586,0.000523586,0.000523586
66,529.074,0.47383,0.8155,0.87439,0.36677,0.65498,0.59873,0.54628,0.48275,2.10113,0.9488,0.000509438,0.000509438,0.000509438
67,539.387,0.43417,0.76537,0.86249,0.36677,0.65498,0.59873,0.54628,0.48275,2.10113,0.9488,0.000495291,0.000495291,0.000495291
68,546.681,0.43928,0.77343,0.88645,0.42559,0.55042,0.59706,0.55656,0.47282,1.96576,0.95014,0.000481144,0.000481144,0.000481144
69,553.668,0.39864,0.70769,0.86268,0.42559,0.55042,0.59706,0.55656,0.47282,1.96576,0.95014,0.000466997,0.000466997,0.000466997
70,560.602,0.47113,0.78495,0.86929,0.41652,0.66667,0.60406,0.56021,0.50347,1.83408,0.98393,0.00045285,0.00045285,0.00045285
71,567.637,0.39843,0.82634,0.86691,0.41652,0.66667,0.60406,0.56021,0.50347,1.83408,0.98393,0.000438703,0.000438703,0.000438703
72,578.782,0.37929,0.73617,0.86727,0.44652,0.65771,0.53532,0.49096,0.52573,1.71229,0.99016,0.000424556,0.000424556,0.000424556
73,585.888,0.41666,0.76177,0.88383,0.44652,0.65771,0.53532,0.49096,0.52573,1.71229,0.99016,0.000410409,0.000410409,0.000410409
74,592.918,0.36515,0.69018,0.85163,0.45063,0.65908,0.57254,0.53419,0.4748,1.60616,0.95528,0.000396262,0.000396262,0.000396262
75,599.848,0.35979,0.76018,0.86464,0.45063,0.65908,0.57254,0.53419,0.4748,1.60616,0.95528,0.000382115,0.000382115,0.000382115
76,609.805,0.38932,0.75453,0.89716,0.43469,0.6525,0.60877,0.57969,0.43171,1.52441,0.93599,0.000367967,0.000367967,0.000367967
77,617.19,0.38147,0.68214,0.85564,0.43469,0.6525,0.60877,0.57969,0.43171,1.52441,0.93599,0.00035382,0.00035382,0.00035382
78,624.557,0.4242,0.82715,0.90154,0.44286,0.60119,0.61153,0.58016,0.41444,1.47822,0.93897,0.000339673,0.000339673,0.000339673
79,631.738,0.42051,0.73463,0.87889,0.44286,0.60119,0.61153,0.58016,0.41444,1.47822,0.93897,0.000325526,0.000325526,0.000325526
80,638.833,0.35077,0.68471,0.85332,0.42105,0.66481,0.62812,0.60151,0.38436,1.42624,0.90658,0.000311379,0.000311379,0.000311379
81,648.897,0.37743,0.66442,0.83924,0.42105,0.66481,0.62812,0.60151,0.38436,1.42624,0.90658,0.000297232,0.000297232,0.000297232
82,656.002,0.37903,0.70051,0.86609,0.51256,0.65043,0.66079,0.62916,0.37673,1.37019,0.90308,0.000283085,0.000283085,0.000283085
83,663.106,0.37786,0.68106,0.86054,0.51256,0.65043,0.66079,0.62916,0.37673,1.37019,0.90308,0.000268938,0.000268938,0.000268938
84,670.353,0.38216,0.71586,0.85911,0.51913,0.65948,0.66079,0.62825,0.40215,1.32925,0.92447,0.000254791,0.000254791,0.000254791
